school,lat,lon
Universidad de Chile and Université Rennes I,-82.0,135.0
"Centro de Investigación en Matemáticas, CIMAT",-82.0,135.0
Claremont Graduate University and San Diego State University,-82.0,135.0
Universidad de Buenos Aires and Université de Montpellier,-82.0,135.0
Justus-Liebig-Universität Gießen and Università di Torino,-82.0,135.0
Universidad de Chile and Université de Montpellier II,-82.0,135.0
Eötvös Loránd Univers,-82.0,135.0
Purdue University and University of Florida,-82.0,135.0
Ruhr-Universität Bochum and Université Louis Pasteur - Strasbourg I,-82.0,135.0
Iowa State University and The George Washington University,-82.0,135.0
Københavns Universi,-82.0,135.0
Universidad de Chile and Universidad de Valladolid,-82.0,135.0
Universidad Carlos III de Madrid and University of Minnesota-Minneapolis,-82.0,135.0
University of Otago and Université de Toulouse,-82.0,135.0
Università degli Studi di Firenze and Université Paris Diderot - Paris 7,-82.0,135.0
University of Cambridge and University of Edinbu,-82.0,135.0
Johannes Kepler Universität Linz and University of Western Australia,-82.0,135.0
Universidade de Lisboa and University of Texas at Austin,-82.0,135.0
Katholieke Universiteit Leuven and Universidad de Valladolid,-82.0,135.0
Universidad de Chile and Université de Nice-Sophia Antipolis,-82.0,135.0
Università di Torino and Université de Nice-Sophia Antipolis,-82.0,135.0
USSR Gosstandard,-82.0,135.0
"D.Sc. Comenius University and Czech Academy of Sciences 1980,",-82.0,135.0
State University of New York at Buff,-82.0,135.0
National Technical University of Ukraine “Kyiv Polytechnic Institu,-82.0,135.0
Universidad Autónoma Metropolitana-Iztapalapa and Université Paul Sabatier - Toulouse III,-82.0,135.0
Katholieke Universiteit Leuven and Université de Neuchâtel,-82.0,135.0
Katholieke Universiteit Leuven and Université de Lille I,-82.0,135.0
Rijksuniversiteit Groningen and Universidad de Chile,-82.0,135.0
Jyväskylän yliopi,-82.0,135.0
Katholieke Universiteit Leuven and University of Copenhagen,-82.0,135.0
Radboud Universiteit Nijmegen and Université de Lorraine,-82.0,135.0
Memorial University of Newfoundland and Middle East Technical University,-82.0,135.0
Université Blaise Pascal and Université de Bamako,-82.0,135.0
Calcutta University and La Trobe University,-82.0,135.0
Politecnico di Milano and Université de Nice-Sophia Antipolis,-82.0,135.0
